,id,word,article,topics,level,gender,partOfSpeech,translation,transcriptionRu,plural,examples,association,image,forms,conjugation
sterben,sterben,—,health,B1,—,глагол,умирать,ште́рбен,—,Er ist gestorben.,(стерва — смерть),sterben.jpg,sterben; starb; ist gestorben,ich sterbe…,
streiten,streiten,—,emotions,A2,—,глагол,ссориться,штра́йтен,stritt; hat gestritten,Wir streiten oft.,(страйк → конфликт),streiten.jpg,—,ich streite…,
,krankheit,Krankheit,die,health,A2,f,сущ.,болезнь,кра́нкхайт,Krankheiten,Die Krankheit ist ernst. — Болезнь серьёзная.,"(кран + хай: из крана льётся вода, и ты заболел)",krankheit.jpg,—,—
,gesundheit,Gesundheit,die,health,A1,f,сущ.,здоровье,гезу́нтхайт,—,Die Gesundheit ist wichtig. — Здоровье важно.,(будь здоров → Gesundheit),gesundheit.jpg,—,—
,schmerz,Schmerz,der,health,A2,m,сущ.,боль,шмерц,Schmerzen,Ich habe starke Schmerzen. — У меня сильная боль.,(шмель жалит → Schmerz),schmerz.jpg,—,—
,beschwerde,Beschwerde,die,health,B1,f,сущ.,"жалоба, недомогание",бешве́рде,Beschwerden,Ich habe Beschwerden im Rücken.,(вес + тяжесть → тяжело → Beschwerden),beschwerde.jpg,—,—
,schwindel,Schwindel,der,health,A2,m,сущ.,головокружение,шви́ндель,—,Mir wird schwindlig. — У меня кружится голова.,(швабра крутится → Schwindel),schwindel.jpg,—,—
,antibiotikum,Antibiotikum,das,health,B1,n,сущ.,антибиотик,антибио́тикум,Antibiotika,Der Arzt verschreibt ein Antibiotikum.,"(анти — против, биотик — бактерий)",antibiotikum.jpg,—,—
,medikament,Medikament,das,health,A2,n,сущ.,лекарство,медикаме́нт,Medikamente,Ich nehme ein Medikament ein.,(медик даёт средство → Medikament),medikament.jpg,—,—
,rezept,Rezept,das,health,A2,n,сущ.,рецепт (мед.),реце́пт,Rezepte,Ich brauche ein Rezept.,"(как в кухне, но медицинское)",rezept.jpg,—,—
,krankenhaus,Krankenhaus,das,health,A1,n,сущ.,больница,кра́нкенхаус,Krankenhäuser,Ich muss ins Krankenhaus.,(дом больных → Krankenhaus),krankenhaus.jpg,—,—
,termin,Termin,der,health,A1,m,сущ.,"запись, приём",терми́н,Termine,Ich habe einen Termin beim Arzt.,(термин → время → Termin),termin.jpg,—,—
,praxis,Praxis,die,health,A2,f,сущ.,"врачебная практика, кабинет",пра́ксис,Praxen,Die Praxis ist geschlossen.,(практика врача → Praxis),praxis.jpg,—,—
,notaufnahme,Notaufnahme,die,health,B1,f,сущ.,приёмное отделение,но́тауфнаме,—,Ich muss in die Notaufnahme.,(нота СРОЧНО → Not),notaufnahme.jpg,—,—
,untersuchung,Untersuchung,die,health,A2,f,сущ.,обследование,унтерзу́хунг,Untersuchungen,Die Untersuchung dauert 10 Minuten.,(зух → искать → Untersuchung),untersuchung.jpg,—,—
,versicherung,Versicherung,die,health,B1,f,сущ.,страховка,ферзи́херунг,Versicherungen,Ich habe eine Krankenversicherung.,(фиксировать → sichern → страховать),versicherung.jpg,—,—
,tablette,Tablette,die,health,A1,f,сущ.,таблетка,табле́тте,Tabletten,Ich nehme eine Tablette.,(таблетка → Tablette),tablette.jpg,—,—
,fieber,Fieber,das,health,A1,n,сущ.,"лихорадка, температура",фи́бер,—,Ich habe Fieber. — У меня температура.,(фибра — жар → Fieber),fieber.jpg,—,—
,husten,Husten,der,health,A1,m,сущ.,кашель,ху́стен,—,Ich habe Husten.,(хуст → хост → кашель),husten.jpg,—,—
,schnupfen,Schnupfen,der,health,A1,m,сущ.,насморк,шну́пфен,—,Ich habe Schnupfen.,(шнурок в носу → Schnupfen),schnupfen.jpg,—,—
,erkältung,Erkältung,die,health,A1,f,сущ.,простуда,эркэ́льтунг,Erkältungen,Ich habe eine Erkältung.,(холод — kalt → Erkältung),erkältung.jpg,—,—
,übelkeit,Übelkeit,die,health,A2,f,сущ.,тошнота,ю́белкайт,—,Ich habe Übelkeit.,(убило в животе → Übelkeit),übelkeit.jpg,—,—
,erbrechen,Erbrechen,das,health,B1,n,сущ.,рвота,эрбре́хен,—,Das Erbrechen hörte auf.,(brechen — ломать → вырвало),erbrechen.jpg,—,—
,wunde,Wunde,die,health,A2,f,сущ.,рана,ву́нде,Wunden,Die Wunde ist tief.,(вунд — больно → Wunde),wunde.jpg,—,—
,verletzung,Verletzung,die,health,A2,f,сущ.,"травма, повреждение",ферле́цунг,Verletzungen,Die Verletzung ist nicht schlimm.,(лет — удар → Verletzung),verletzung.jpg,—,—
,allergie,Allergie,die,health,B1,f,сущ.,аллергия,алергИ́,Allergien,Ich habe eine Allergie.,(аллергия = Allergie),allergie.jpg,—,—
,durchfall,Durchfall,der,health,A2,m,сущ.,понос,ду́рхфаль,—,Ich habe Durchfall.,(через + падать → Durchfall),durchfall.jpg,—,—
,verstopfung,Verstopfung,die,health,B1,f,сущ.,запор,фершто́пфунг,Verstopfungen,Ich habe eine Verstopfung.,(стоп → остановка → Verstopfung),verstopfung.jpg,—,—
,entzündung,Entzündung,die,health,B1,f,сущ.,воспаление,энтцЮ́ндунг,Entzündungen,Die Entzündung ist stark.,(цун — огонь → жар → Entzündung),entzündung.jpg,—,—
,fiebermesser,Fiebermesser,das,health,A2,n,сущ.,градусник,фи́бермессер,—,Wo ist das Fiebermesser?,(Fieber + Messer — «нож» температуры),fiebermesser.jpg,—,—
,sprechstunde,Sprechstunde,die,health,A2,f,сущ.,часы приёма,шпре́хштунде,Sprechstunden,Die Sprechstunde beginnt um 9.,(sprechen + Stunde),sprechstunde.jpg,—,—
,symptom,Symptom,das,health,B1,n,сущ.,симптом,зюмто́м,Symptome,Das ist ein typisches Symptom.,(как в русском),symptom.jpg,—,—
,blutdruck,Blutdruck,der,health,A2,m,сущ.,кровяное давление,блУтдрук,—,Mein Blutdruck ist hoch.,(Blut + Druck — давление крови),blutdruck.jpg,—,—
,röntgen,Röntgen,das,health,B1,n,сущ.,рентген,рёнтгэн,—,Ich brauche ein Röntgen.,(как русское рентген),röntgen.jpg,—,—
,überweisung,Überweisung,die,health,B1,f,сущ.,направление (к врачу),ю́берввайзунг,Überweisungen,Ich brauche eine Überweisung.,(überweisen — направлять),überweisung.jpg,—,—
,eiter,Eiter,der,health,B2,m,сущ.,гной,А́йтер,—,Die Wunde hat Eiter.,"(ай, больно! → Eiter)",eiter.jpg,—,—
,sodbrennen,Sodbrennen,das,health,B1,n,сущ.,изжога,зо́тбреннен,—,Ich habe Sodbrennen.,(жжёт → brennen → Brennen),sodbrennen.jpg,—,—
,schüttelfrost,Schüttelfrost,der,health,B1,m,сущ.,озноб,шЮттельфрост,—,Ich habe Schüttelfrost.,(schütteln — трясти → дрожь),schüttelfrost.jpg,—,—
,schwindelig,schwindelig,—,health,A2,—,прил.,"головокружительный, кружится голова",шви́ндэлиг,—,Mir ist schwindelig.,(как Schwindel),schwindelig.jpg,—,—
,entzündet,entzündet,—,health,B1,—,прил.,воспалённый,энтцЮ́ндэт,—,Die Stelle ist entzündet.,(Entzündung → entzündet),entzündet.jpg,—,—
,übel,übel,—,health,A2,—,прил.,"плохо, дурно",ю́бел,—,Mir ist übel.,(убило → плохо),übel.jpg,—,—
,schwitzen,schwitzen,—,health,A2,—,глагол,потеть,шви́цэн,—,Ich schwitze viel.,(швейцар в жаре → schwitzen),schwitzen.jpg,schwitzen; schwitzte; hat geschwitzt,ich schwitze; du schwitzt; er schwitzt; wir schwitzen; ihr schwitzt; sie schwitzen
,zunehmen,zunehmen,—,health,B1,—,глагол,набирать вес,цу́-неймен,—,Ich nehme zu.,(к чему-то «прибавляется» → zu + nehmen),zunehmen.jpg,zunehmen; nahm zu; hat zugenommen,ich nehme zu…
,abnehmen,abnehmen,—,health,B1,—,глагол,"худеть, снижать",а́б-неймен,—,Ich nehme ab.,(ab — от → «убирается»),abnehmen.jpg,abnehmen; nahm ab; hat abgenommen,ich nehme ab…
,schwellen,schwellen,—,health,B2,—,глагол,опухать,шве́ллен,—,Das Bein schwillt an.,(швабра набухает водой),schwellen.jpg,schwellen; schwoll; ist geschwollen,ich schwelle…
,brechen,brechen,—,health,A2,—,глагол,ломать,бре́хен,—,Ich breche mir den Arm.,(брёвна ломают → brechen),brechen.jpg,brechen; brach; hat gebrochen,ich breche…
,leiden,leiden,—,health,B1,—,глагол,страдать,ла́йден,—,Ich leide an Migräne.,(лай собак — страдание),leiden.jpg,leiden; litt; hat gelitten,ich leide…
,einnehmen,einnehmen,—,health,A2,—,глагол,принимать (лекарство),áйн-неймен,—,Ich nehme Tabletten ein.,(внутрь — ein → einnehmen),einnehmen.jpg,einnehmen; nahm ein; hat eingenommen,ich nehme ein…
,verschreiben,verschreiben,—,health,B2,—,глагол,прописывать,фершра́йбен,—,Der Arzt verschreibt ein Medikament.,(schreiben — писать → прописать),verschreiben.jpg,verschreiben; verschrieb; hat verschrieben,ich verschreibe…
,wirken,wirken,—,health,A2,—,глагол,действовать,ви́ркен,—,Das Medikament wirkt schnell.,(вир — энергия → действует),wirken.jpg,wirken; wirkte; hat gewirkt,ich wirke…
,pflegen,pflegen,—,health,B1,—,глагол,ухаживать,фле́ген,—,Ich pflege meinen Vater.,(плед — забота → pflegen),pflegen.jpg,pflegen; pflegte; hat gepflegt,ich pflege…
,husten_v,husten,—,health,A1,—,глагол,кашлять,ху́стен,—,Ich huste.,(как существительное Husten),husten_v.jpg,husten; hustete; hat gehustet,ich huste…
,niesen,niesen,—,health,A1,—,глагол,чихать,ни́зен,—,Ich niese.,(ни — звук чихания),niesen.jpg,niesen; nieste; hat geniest,ich niese…
,bluten,bluten,—,health,A2,—,глагол,кровоточить,блУ́тен,—,Die Wunde blutet.,(Blut — кровь → bluten),bluten.jpg,bluten; blutete; hat geblutet,ich blute…
,sich_verletzen,sich verletzen,—,health,A2,—,глагол,пораниться,ферле́тцен,—,Ich habe mich verletzt.,(как Verletzung),sich_verletzen.jpg,sich verletzen; verletzte sich; hat sich verletzt,ich verletze mich…
,sich_erholen,sich erholen,—,health,B1,—,глагол,"отдыхать, восстанавливаться",эрхо́лен,—,Ich erhole mich.,(холл отдыха → erholen),sich_erholen.jpg,sich erholen; erholte sich; hat sich erholt,ich erhole mich…
,heilen,heilen,—,health,B1,—,глагол,исцелять,ха́йлен,—,Die Wunde heilt.,(хило — тонко → heals),heilen.jpg,heilen; heilte; hat geheilt,ich heile…
,untersuchen_v,untersuchen,—,health,A2,—,глагол,обследовать,унтерзу́хен,—,Der Arzt untersucht mich.,(как Untersuchung),untersuchen.jpg,untersuchen; untersuchte; hat untersucht,ich untersuche…
,diagnostizieren,diagnostizieren,—,health,B2,—,глагол,диагностировать,диа́гностицирен,—,Der Arzt diagnostiziert die Krankheit.,(как русск.),diagnostizieren.jpg,diagnostizieren; diagnostizierte; hat diagnostiziert,ich diagnostiziere…
,behandeln,behandeln,—,health,B1,—,глагол,лечить,бехан́дельн,—,Der Arzt behandelt mich.,(hand — рука → обращаться руками → лечить),behandeln.jpg,behandeln; behandelte; hat behandelt,ich behandle…
,vereinbaren,vereinbaren,—,health,B1,—,глагол,назначать (встречу),ферáйнбарен,—,Ich vereinbare einen Termin.,(ein — договор → vereinbaren),vereinbaren.jpg,vereinbaren; vereinbarte; hat vereinbart,ich vereinbare…
,sich_übergeben,sich übergeben,—,health,B1,—,глагол,"тошнить, рвать",ю́бергебен,—,Ich übergebe mich.,(geben наружу → übergeben),sich_übergeben.jpg,sich übergeben; übergab sich; hat sich übergeben,ich übergebe mich…
,angst,Angst,die,emotions,A1,f,сущ.,страх,ангст,Ängste,Ich habe Angst.,(ангст — страх),angst.jpg,—,—
,aerger,Ärger,der,emotions,A2,m,сущ.,"злость, раздражение",э́ргер,—,Er hat großen Ärger.,(ярость → Ärger),aerger.jpg,—,—
,aufgeben,aufgeben,—,emotions,B1,—,глагол,сдаваться,ауфгэ́бен,—,Ich will nicht aufgeben.,(отдать вверх → сдаться),aufgeben.jpg,aufgeben; gab auf; hat aufgegeben,ich gebe auf…
,empfinden,empfinden,—,emotions,B1,—,глагол,"ощущать, воспринимать",эмфи́нден,empfand; hat empfunden,Ich empfinde Freude.,(finden → находить чувство),empfinden.jpg,—,ich empfinde…
,entspannen,entspannen,—,emotions,A2,—,глагол,расслабляться,энтшпа́ннен,—,Ich möchte mich entspannen.,(спа — relax → entspannen),entspannen.jpg,—,ich entspanne…
,erschrecken,erschrecken,—,emotions,B1,—,глагол,пугать(ся),эшрэ́ккен,erschrak; ist erschrocken,Ich erschrecke leicht.,(шрек → страшно),erschrecken.jpg,—,ich erschrecke…
,freude,Freude,die,emotions,A1,f,сущ.,радость,фройде,—,Das macht mir Freude.,(фрой — радость),freude.jpg,—,—
,fuehlen,fühlen,—,emotions,A1,—,глагол,чувствовать,фю́лен,—,Ich fühle nichts.,(фю — feel),fühlen.jpg,—,ich fühle…
,geduld,Geduld,die,emotions,A2,f,сущ.,терпение,геду́льд,—,Hab Geduld!,(долгое терпение → Geduld),geduld.jpg,—,—
,gefallen,gefallen,—,emotions,A1,—,глагол,нравиться,гефа́ллен,gefiel; hat gefallen,Das gefällt mir.,(fall — падает в сердце → нравится),gefallen.jpg,—,ich gefalle…
,geniessen,genießen,—,emotions,A2,—,глагол,наслаждаться,гени́сен,genoss; hat genossen,Ich genieße den Moment.,(есть/наслаждаться → genießen),genießen.jpg,—,ich genieße…
,glauben,glauben,—,emotions,A1,—,глагол,верить,гла́убен,—,Ich glaube dir.,(похоже на «глобально верить»),glauben.jpg,—,ich glaube…
,glueck,Glück,das,emotions,A1,n,сущ.,"счастье, удача",глюк,—,Viel Glück!,(глюк — удача),glück.jpg,—,—
,hoffen,hoffen,—,emotions,A1,—,глагол,надеяться,хо́ффен,—,Ich hoffe auf dich.,(хоп! — внезапная надежда),hoffen.jpg,—,ich hoffe…
,hoffnung,Hoffnung,die,emotions,A1,f,сущ.,надежда,хо́ффнунг,—,Es gibt Hoffnung.,(от hoffen),hoffnung.jpg,—,—
,kuessen,küssen,—,emotions,A1,—,глагол,целовать,кю́ссен,—,Ich küsse dich.,(кю — звук поцелуя),küssen.jpg,—,ich küsse…
,lachen,lachen,—,emotions,A1,—,глагол,смеяться,ла́хен,—,Ich lache viel.,(ха-ха → lachen),lachen.jpg,—,ich lache…
,leiden,leiden,—,emotions,B1,—,глагол,страдать,ла́йден,litt; hat gelitten,Ich leide an Stress.,(лай — боль → leiden),leiden.jpg,—,ich leide…
,moegen,mögen,—,emotions,A1,—,глагол,"любить, нравиться",мё́гэн,mochte; hat gemocht,Ich mag dich.,(мягкое чувство → mögen),mögen.jpg,—,ich mag…
,muede,müde,—,emotions,A1,—,прил.,усталый,мю́дэ,—,Ich bin müde.,"(мёд — устал, наелся → müde)",müde.jpg,—,—
,peinlich,peinlich,—,emotions,A2,—,прил.,"неловкий, постыдный",па́йнлих,—,Das ist mir peinlich.,(пень — неловко ударился),peinlich.jpg,—,—
,sauer,sauer,—,emotions,A2,—,прил.,сердитый,за́уэр,—,Ich bin sauer auf dich.,(сау — злой звук),sauer.jpg,—,—
,schreien,schreien,—,emotions,A2,—,глагол,кричать,шра́йен,schrie; hat geschrien,Er schreit laut.,(крик «шрай!»),schreien.jpg,—,ich schreie…
,schwach,schwach,—,emotions,A2,—,прил.,слабый,швах,—,Ich fühle mich schwach.,(швах — нехорошо),schwach.jpg,—,—
,sich_beschweren,sich beschweren,—,emotions,B1,—,глагол (refl.),жаловаться,зих бешве́рен,—,Ich beschwere mich über den Lärm.,(вес тяжёлый → schwer → жаловаться),beschweren.jpg,—,ich beschwere mich…
,sich_gewoehnen,sich gewöhnen,—,emotions,A2,—,глагол (refl.),привыкать,зих гевё́нен,—,Ich gewöhne mich daran.,(вновь-вновь → привык),gewöhnen.jpg,—,ich gewöhne mich…
,sich_wundern,sich wundern,—,emotions,A2,—,глагол (refl.),удивляться,зих ву́ндэрн,—,Ich wundere mich.,(вундер — чудо → удивляться),wundern.jpg,—,ich wundere mich…
,spass,Spaß,der,emotions,A1,m,сущ.,"удовольствие, веселье",шпас,—,Viel Spaß!,(шпАс — веселье),spass.jpg,—,—
,spueren,spüren,—,emotions,A2,—,глагол,ощущать,шпю́рен,—,Ich spüre nichts.,(спирт жжёт → чувствуешь),spüren.jpg,—,ich spüre…
,stimmung,Stimmung,die,emotions,A2,f,сущ.,настроение,шт и́ммунг,—,Die Stimmung ist gut.,(шум → атмосфера → Stimmung),stimmung.jpg,—,—
,traeumen,träumen,—,emotions,A2,—,глагол,"мечтать, видеть сны",трё́ймен,träumte; hat geträumt,Ich träume viel.,"(тря — мягко, сонно)",träumen.jpg,—,ich träume…
,traum,Traum,der,emotions,A2,m,сущ.,"сон, мечта",траум,Träume,Der Traum war schön.,(трава — уснул на траве → Traum),traum.jpg,—,—
,umarmen,umarmen,—,emotions,A2,—,глагол,обнимать,ума́рмен,—,Ich umarme dich.,"(arms — руки, вокруг)",umarmen.jpg,—,ich umarme…
,vertrauen,vertrauen,—,emotions,B1,—,глагол,доверять,фертра́уэн,—,Ich vertraue dir.,(троюю — сердце открыто),vertrauen.jpg,—,ich vertraue…
,wuetend,wütend,—,emotions,A2,—,прил.,яростный,вю́тент,—,Er ist wütend.,(вью — взрыв эмоции),wütend.jpg,—,—
,zweifel,Zweifel,der,emotions,B1,m,сущ.,сомнение,цва́йфель,Zweifel,Ich habe Zweifel.,(двойное → zwei → сомнения),zweifel.jpg,—,—
,zweifeln,zweifeln,—,emotions,B1,—,глагол,сомневаться,цва́йфелн,—,Ich zweifle daran.,(от Zweifel),zweifeln.jpg,—,ich zweifle…
,lustig,lustig,—,emotions,A1,—,прил.,смешной,лу́стих,—,Das ist lustig.,(lust → наслаждение → весело),lustig.jpg,—,—
,sich_fuerchten,sich fürchten,—,emotions,B1,—,глагол (refl.),бояться,зих фю́рштен,—,Ich fürchte mich.,(фюрер — страх → Fürchten),fuerchten.jpg,—,ich fürchte mich…
,sorge,Sorge,die,emotions,A2,f,сущ.,"забота, тревога",зо́рге,Sorgen,Ich habe Sorgen.,(сор — тревога в голове),sorge.jpg,—,—
,aerg ern,ärgern,—,emotions,A2,—,глагол,"злить, раздражать",э́ргёрн,—,Ich ärgere mich.,(ярость → ärgern),ärgern.jpg,—,ich ärgere…
,lieben,lieben,—,emotions,A1,—,глагол,любить,ли́бен,—,Ich liebe dich.,(либ — любовь),lieben.jpg,—,ich liebe…
,traurig,traurig,—,emotions,A1,—,прил.,грустный,тра́уриг,—,Ich bin traurig.,(траур → traurig),traurig.jpg,—,—
,gluecklich,glücklich,—,emotions,A1,—,прил.,счастливый,глю́клих,—,Ich bin glücklich.,(от Glück),glücklich.jpg,—,—
,nervoes,nervös,—,emotions,A2,—,прил.,нервный,нервё́с,—,Ich bin nervös.,(нервы → nervös),nervös.jpg,—,—
,gestresst,gestresst,—,emotions,B1,—,прил.,в стрессе,гештре́ст,—,Ich bin gestresst.,(stress),gestresst.jpg,—,—
,ueberrascht,überrascht,—,emotions,A2,—,прил.,удивлённый,ю́берашт,—,Ich bin überrascht.,(über + rasch — резко сверху),überrascht.jpg,—,—
,zufrieden,zufrieden,—,emotions,A2,—,прил.,довольный,цуфри́ден,—,Ich bin zufrieden.,(friede — мир → zufrieden),zufrieden.jpg,—,—
,enttaeuscht,enttäuscht,—,emotions,B1,—,прил.,разочарованный,энтто́йшт,—,Ich bin enttäuscht.,(ent + täuschen — обман → разочарование),enttäuscht.jpg,—,—
,einsam,einsam,—,emotions,B1,—,прил.,одинокий,а́йнзам,—,Ich bin einsam.,(ein — один),einsam.jpg,—,—
,dankbar,dankbar,—,emotions,A2,—,прил.,благодарный,да́нкбар,—,Ich bin dankbar.,(danke → dankbar),dankbar.jpg,—,—
,seufzen,seufzen,—,emotions,B1,—,глагол,вздыхать,зой́фцен,—,Er seufzt laut.,(звук вздоха «сойф…»),seufzen.jpg,—,ich seufze…
,streiten,streiten,—,emotions,A2,—,глагол,"ссориться, спорить",штра́йтен,—,Wir streiten oft. — Мы часто ссоримся.,(страйк → конфликт → streiten),streiten.jpg,stritt; hat gestritten,ich streite; du streitest; er/sie/es streitet; wir streiten; ihr streitet; sie/Sie streiten